Sync Time,Interval Name,Gaze Target,Target Code,Index
05:49.100,Red_1_3,Orange,32,3
05:50.100,Red_1_3,Distracted,19,3
06:02.900,Red_1_3,Computer,1,3
06:03.900,Red_1_3,Test,2,3
06:04.400,Red_1_3,Distracted,19,3
06:07.700,Red_1_3,Computer,1,3
06:09.400,Red_1_3,Distracted,19,3
06:10.600,Red_1_3,RedNbook,23,3
06:11.400,Red_1_3,Test,2,3
06:11.900,Red_1_3,Computer,1,3
06:22.900,Red_1_3,Indetermined,92,3
06:24.900,Red_1_3,RedNbook,23,3
06:25.900,Red_1_3,Computer,1,3
06:26.300,Red_1_3,Test,2,3
06:26.800,Red_1_3,Distracted,19,3
06:27.300,Red_1_3,Computer,1,3
06:30.100,Red_1_3,Distracted,19,3
06:34.100,Red_1_3,Computer,1,3
06:36.300,Red_1_3,Computer,1,3
09:02.100,Red_1_4,Test,2,4
09:10.600,Red_1_4,Orange,32,4
09:12.500,Red_1_4,BlueNbook,7,4
09:13.000,Red_1_4,Computer,1,4
09:13.500,Red_1_4,Orange,32,4
09:14.000,Red_1_4,Distracted,19,4
09:16.700,Red_1_4,Orange,32,4
09:17.200,Red_1_5,Blue,30,4
09:22.500,Red_1_4,Computer,1,4
09:25.300,Red_1_4,Test,2,4
09:27.500,Red_1_4,Computer,1,4
09:30.000,Red_1_4,Blue,30,4
09:30.500,Red_1_4,Computer,1,4
09:31.500,Red_1_4,Blue,30,4
09:32.300,Red_1_4,Computer,1,4
09:40.700,Red_1_4,Test,2,4
09:41.500,Red_1_4,Computer,1,4
09:43.200,Red_1_4,Test,2,4
09:43.500,Red_1_4,Distracted,19,4
09:44.300,Red_1_4,RedNbook,23,4
09:45.700,Red_1_4,Computer,1,4
09:51.300,Red_1_4,Distracted,19,4
09:51.600,Red_1_4,Computer,1,4
09:54.300,Red_1_4,Test,2,4
10:01.800,Red_1_4,Blue,30,4
10:02.100,Red_1_4,Blue,30,4
11:19.100,Red_1_5,Computer,1,5
11:20.900,Red_1_5,Blue,30,5
11:26.700,Red_1_5,Distracted,19,5
11:27.400,Red_1_5,Blue,30,5
11:30.900,Red_1_5,Computer,1,5
11:49.600,Red_1_5,Blue,30,5
11:50.100,Red_1_5,Another team,13,5
11:50.800,Red_1_5,Blue,30,5
11:51.300,Red_1_5,Computer,1,5
11:53.800,Red_1_5,OrangeCell,14,5
11:55.300,Red_1_5,Computer,1,5
11:56.600,Red_1_5,OrangeCell,14,5
12:00.600,Red_1_5,Computer,1,5
12:02.300,Red_1_5,Blue,30,5
12:03.100,Red_1_5,OrangeCell,14,5
12:05.100,Red_1_5,BlueNbook,7,5
12:05.800,Red_1_5,OrangeNbook,9,5
12:11.100,Red_1_5,BlueNbook,7,5
12:12.100,Red_1_5,BlueCalc,6,5
12:17.300,Red_1_5,OrangeNbook,9,5
12:19.100,Red_1_5,OrangeNbook,9,5
13:02.200,Red_1_6,Blue,30,6
13:03.200,Red_1_6,OrangeCell,14,6
13:03.300,Red_1_6,Blue,30,6
13:03.400,Red_1_6,Orange,32,6
13:04.100,Red_1_6,Blue,30,6
13:04.300,Red_1_6,Orange,32,6
13:05.200,Red_1_6,Blue,30,6
13:05.300,Red_1_6,Orange,32,6
13:06.500,Red_1_6,OrangeCell,14,6
13:06.800,Red_1_6,Orange,32,6
13:08.000,Red_1_6,RedNbook,23,6
13:08.900,Red_1_6,Distracted,19,6
13:10.700,Red_1_6,Orange,32,6
13:12.100,Red_1_6,Blue,30,6
13:12.200,Red_1_6,Orange,32,6
13:13.300,Red_1_6,Indetermined,92,6
13:14.100,Red_1_6,Computer,1,6
13:14.600,Red_1_6,Blue,30,6
13:15.100,Red_1_6,OrangeCell,14,6
13:15.400,Red_1_6,Computer,1,6
13:16.100,Red_1_6,OrangeCell,14,6
13:16.300,Red_1_6,BlueNbook,7,6
13:17.300,Red_1_6,OrangeCell,14,6
13:18.500,Red_1_6,OrangeCell,14,6
13:20.300,Red_1_6,Computer,1,6
13:20.700,Red_1_6,Test,2,6
13:21.200,Red_1_6,Distracted,19,6
13:21.500,Red_1_6,Test,2,6
13:21.700,Red_1_6,Computer,1,6
13:22.300,Red_1_6,Orange,32,6
13:23.100,Red_1_6,Blue,30,6
13:24.300,Red_1_6,OrangeCell,14,6
13:25.800,Red_1_6,Distracted,19,6
13:27.800,Red_1_6,Computer,1,6
13:31.100,Red_1_6,Distracted,19,6
13:31.600,Red_1_6,Computer,1,6
13:32.100,Red_1_6,Distracted,19,6
13:32.900,Red_1_6,Computer,1,6
13:44.100,Red_1_6,Distracted,19,6
13:44.800,Red_1_6,Computer,1,6
13:56.100,Red_1_6,Blue,30,6
13:56.600,Red_1_6,Computer,1,6
14:02.200,Red_1_6,Computer,1,6
16:02.300,Red_1_7,OrangeCell,14,7
16:05.200,Red_1_7,Computer,1,7
16:29.800,Red_1_7,Distracted,19,7
16:31.100,Red_1_7,Computer,1,7
16:31.800,Red_1_7,Distracted,19,7
17:02.300,Red_1_7,Distracted,19,7
17:32.600,Red_1_8,Computer,1,8
17:41.800,Red_1_8,Blue,30,8
17:42.800,Red_1_8,Computer,1,8
