"","time","Target.x","Target.y","Target.z"
"391",2083,1,1,1
"392",2084,1,1,1
"393",2085,1,1,1
"394",2086,1,1,1
"395",2087,1,1,1
"396",2088,1,1,1
"397",2089,1,1,1
"398",2090,1,1,1
"399",2091,1,1,1
"400",2092,1,1,1
"401",2093,1,1,1
"402",2094,1,1,1
"403",2095,1,1,1
"404",2096,1,1,1
"405",2097,1,1,1
"406",2098,1,1,1
"407",2099,1,1,1
"408",2100,1,1,1
"409",2101,1,1,1
"410",2102,1,1,1
"411",2103,1,1,1
"412",2104,1,1,1
"413",2105,1,1,1
"414",2106,1,1,1
"415",2107,1,1,1
"416",2108,1,1,1
"417",2109,1,1,1
"418",2110,1,1,1
"419",2111,1,1,1
"420",2112,1,1,1
"421",2113,1,1,1
"422",2114,1,1,1
"423",2115,1,1,1
"424",2116,1,1,1
"425",2117,1,1,1
"426",2118,1,1,1
"427",2119,1,1,1
"428",2120,1,1,1
"429",2121,1,1,1
"430",2122,1,1,1
"431",2123,1,1,1
"432",2124,1,1,1
"433",2125,1,1,1
"434",2126,1,1,1
"435",2127,1,1,1
"436",2128,1,1,1
"437",2129,1,1,1
"438",2130,1,1,1
"439",2131,1,1,1
"440",2132,1,1,1
"441",2133,1,1,1
"442",2134,1,1,1
"443",2135,1,1,1
"444",2136,1,1,1
"445",2137,1,1,1
"446",2138,1,1,1
"447",2139,1,1,1
"448",2140,1,1,1
"449",2141,1,1,1
"450",2142,1,1,1
"451",2143,1,1,1
"452",2144,1,1,1
"453",2145,1,1,1
"454",2146,1,1,1
"455",2147,1,1,1
"456",2148,1,1,1
"457",2149,1,1,1
"458",2150,1,1,1
"459",2151,1,1,1
"460",2152,1,1,1
"461",2153,1,1,1
"462",2154,1,1,1
"463",2155,1,1,1
"464",2156,1,1,1
"465",2157,1,1,1
"466",2158,1,1,1
"467",2159,1,1,1
"468",2160,1,1,1
"469",2161,1,1,1
"470",2162,1,1,1
"471",2163,1,1,1
"472",2164,1,1,1
"473",2165,1,1,1
"474",2166,1,1,1
"475",2167,1,1,1
"476",2168,1,1,1
"477",2169,1,1,1
"478",2170,1,1,1
"479",2171,1,1,1
"480",2172,1,1,1
"481",2173,1,1,1
"482",2174,1,1,1
"483",2175,1,1,1
"484",2176,1,1,1
"485",2177,1,1,1
"486",2178,1,1,1
"487",2179,1,1,1
"488",2180,1,1,1
"489",2181,1,1,1
"490",2182,1,1,1
"491",2183,1,1,1
"492",2184,1,1,1
"493",2185,1,1,1
"494",2186,1,1,1
"495",2187,1,1,1
"496",2188,1,1,1
"497",2189,1,1,1
"498",2190,1,1,1
"499",2191,1,1,1
"500",2192,1,1,1
"501",2193,1,1,1
"502",2194,1,1,1
"503",2195,1,1,1
"504",2196,1,1,1
"505",2197,1,1,1
"506",2198,1,1,1
"507",2199,1,1,1
"508",2200,1,1,1
"509",2201,1,1,1
"510",2202,1,1,1
"511",2203,1,1,1
"512",2204,1,1,1
"513",2205,1,1,1
"514",2206,1,1,1
"515",2207,1,1,1
"516",2208,1,1,1
"517",2209,1,1,1
"518",2210,1,1,1
"519",2211,1,1,1
"520",2212,1,1,1
"521",2213,1,1,1
"522",2214,1,1,1
"523",2215,1,1,1
"524",2216,1,1,1
"525",2217,1,1,1
"526",2218,1,1,1
"527",2219,1,1,1
"528",2220,1,1,1
"529",2221,1,1,1
"530",2222,1,1,1
"531",2223,1,1,1
"532",2224,1,1,1
"533",2225,1,1,1
"534",2226,1,1,1
"535",2227,1,1,1
"536",2228,1,1,1
"537",2229,1,1,1
"538",2230,1,1,1
"539",2231,1,1,1
"540",2232,1,1,1
"541",2233,1,1,1
"542",2234,1,1,1
"543",2235,1,1,1
"544",2236,1,1,1
"545",2237,1,1,1
"546",2238,1,1,1
"547",2239,1,1,1
"548",2240,1,1,1
"549",2241,1,1,1
"550",2242,1,1,1
"551",2243,1,1,1
"552",2244,1,1,1
"553",2245,1,1,3
"554",2246,1,1,3
"555",2247,2,1,3
"556",2248,2,1,3
"557",2249,2,1,3
"558",2250,2,1,3
"559",2251,2,1,3
"560",2252,2,1,3
"561",2253,2,1,3
"562",2254,2,1,3
"563",2255,1,1,3
"564",2256,1,1,3
"565",2257,1,1,3
"566",2258,1,1,3
"567",2259,1,1,3
"568",2260,1,1,1
"569",2261,1,1,1
"570",2262,1,1,1
"571",2263,1,1,1
"572",2264,1,1,1
"573",2265,1,1,1
"574",2266,1,1,1
"575",2267,1,1,1
"576",2268,1,1,1
"577",2269,1,1,1
"578",2270,1,1,1
"579",2271,1,1,1
"580",2272,1,1,1
"581",2273,1,1,1
"582",2274,1,1,1
"583",2275,1,1,1
"584",2276,1,1,1
"585",2277,1,1,1
"586",2278,1,1,1
"587",2279,1,1,1
"588",2280,1,1,1
"589",2281,1,1,1
"590",2282,1,1,1
"591",2283,1,1,1
"592",2284,1,1,1
"593",2285,1,1,1
"594",2286,1,1,1
"595",2287,1,1,1
"596",2288,1,1,1
"597",2289,1,1,1
"598",2290,1,1,1
"599",2291,1,1,1
"600",2292,1,1,1
"601",2293,1,1,1
"602",2294,1,1,1
"603",2295,1,1,1
"604",2296,1,1,1
"605",2297,1,1,1
"606",2298,1,1,1
"607",2299,1,1,1
"608",2300,1,1,1
"609",2301,1,1,1
"610",2302,1,1,1
"611",2303,1,1,1
"612",2304,1,1,1
"613",2305,1,1,1
"614",2306,1,1,1
"615",2307,1,1,1
"616",2308,1,1,1
"617",2309,1,1,1
"618",2310,1,1,1
"619",2311,1,1,1
"620",2312,1,1,1
"621",2313,1,1,1
"622",2314,1,1,1
"623",2315,1,1,1
"624",2316,1,1,1
"625",2317,1,1,1
"626",2318,1,1,1
"627",2319,1,1,1
"628",2320,1,1,1
"629",2321,1,1,1
"630",2322,1,1,1
"631",2323,1,1,1
"632",2324,1,1,1
"633",2325,1,1,1
"634",2326,1,1,1
"635",2327,1,1,1
"636",2328,1,1,1
"637",2329,1,1,1
"638",2330,1,1,1
"639",2331,1,1,1
"640",2332,1,1,1
"641",2333,1,1,1
"642",2334,1,1,1
"643",2335,1,1,1
"644",2336,1,1,1
"645",2337,1,1,1
"646",2338,1,1,1
"647",2339,1,1,1
"648",2340,1,1,1
"649",2341,1,1,1
"650",2342,1,1,1
"651",2343,1,1,1
"652",2344,1,1,1
"653",2345,1,1,1
"654",2346,1,1,1
"655",2347,1,1,1
"656",2348,1,1,1
"657",2349,1,1,1
"658",2350,1,1,1
"659",2351,1,1,1
"660",2352,1,1,1
"661",2353,1,1,1
"662",2354,1,1,1
"663",2355,1,1,1
"664",2356,1,1,1
"665",2357,1,1,1
"666",2358,1,1,1
"667",2359,1,1,1
"668",2360,1,1,1
"669",2361,1,1,1
"670",2362,1,1,1
"671",2363,1,1,1
"672",2364,1,1,1
"673",2365,1,1,1
"674",2366,1,1,1
"675",2367,1,1,1
"676",2368,1,1,1
"677",2369,1,1,1
"678",2370,1,1,1
"679",2371,1,1,1
"680",2372,1,1,1
"681",2373,1,1,1
"682",2374,1,1,1
"683",2375,1,1,1
"684",2376,1,1,1
"685",2377,1,1,1
"686",2378,1,1,1
"687",2379,1,1,1
"688",2380,1,1,1
"689",2381,1,1,1
"690",2382,1,1,1
"691",2383,1,1,1
"692",2384,1,1,1
"693",2385,1,1,1
"694",2386,1,1,1
"695",2387,1,1,1
"696",2388,1,1,1
"697",2389,1,1,1
"698",2390,1,1,1
"699",2391,1,1,1
"700",2392,1,1,1
"701",2393,1,1,1
"702",2394,1,1,1
"703",2395,1,1,1
"704",2396,1,91,1
"705",2397,1,91,1
"706",2398,1,91,1
"707",2399,1,91,1
"708",2400,1,91,1
"709",2401,1,91,1
"710",2402,1,91,1
"711",2403,1,91,1
"712",2404,1,91,1
"713",2405,1,91,1
"714",2406,1,91,1
"715",2407,1,91,1
"716",2408,1,91,1
"717",2409,1,91,1
"718",2410,1,91,1
"719",2411,1,91,1
"720",2412,1,91,1
"721",2413,1,91,1
