,time,Target.x,Target.y,Target.z
445,17089,10,18,19
446,17090,10,18,19
447,17091,10,18,19
448,17092,10,18,19
449,17093,10,18,19
450,17094,10,18,19
451,17095,10,18,19
452,17096,10,18,19
453,17097,10,18,19
454,17098,10,18,19
455,17099,10,18,19
456,17100,10,18,19
457,17101,10,18,19
458,17102,10,18,19
459,17103,10,18,19
460,17104,10,18,19
461,17105,10,18,19
462,17106,10,18,19
463,17107,10,18,19
464,17108,10,18,19
465,17109,10,18,19
466,17110,10,18,19
467,17111,10,18,19
468,17112,10,18,19
469,17113,10,18,19
470,17114,10,18,19
471,17115,10,18,19
472,17116,10,18,19
473,17117,10,18,19
474,17118,10,18,19
475,17119,10,18,19
476,17120,10,18,19
477,17121,10,18,19
478,17122,10,18,19
479,17123,10,18,19
480,17124,10,18,19
481,17125,10,18,19
482,17126,10,18,19
483,17127,10,1,19
484,17128,10,1,19
485,17129,10,1,19
486,17130,10,1,19
487,17131,10,1,19
488,17132,10,1,19
489,17133,10,1,19
490,17134,10,1,19
491,17135,10,1,19
492,17136,10,1,19
493,17137,10,1,19
494,17138,10,1,19
495,17139,10,1,19
496,17140,10,1,19
497,17141,10,1,19
498,17142,10,1,19
499,17143,10,1,19
500,17144,10,1,19
501,17145,10,1,19
502,17146,10,1,19
503,17147,10,1,19
504,17148,10,1,19
505,17149,10,1,19
506,17150,10,1,19
507,17151,10,1,19
508,17152,10,1,19
509,17153,10,1,19
510,17154,10,1,19
511,17155,10,1,19
512,17156,10,1,19
513,17157,10,1,19
514,17158,10,1,19
515,17159,10,1,19
516,17160,10,1,19
517,17161,10,1,19
518,17162,10,1,19
519,17163,10,1,19
520,17164,10,1,19
521,17165,10,1,19
522,17166,10,1,19
523,17167,10,1,19
524,17168,10,1,19
525,17169,10,1,19
526,17170,10,1,19
527,17171,10,1,19
528,17172,10,1,19
529,17173,10,1,19
530,17174,10,1,19
531,17175,10,1,19
532,17176,10,1,19
533,17177,10,1,19
534,17178,10,1,19
535,17179,10,1,19
536,17180,10,1,19
537,17181,10,1,19
538,17182,10,1,19
539,17183,10,1,19
540,17184,10,1,19
541,17185,10,1,19
542,17186,10,1,19
543,17187,10,1,19
544,17188,10,1,19
545,17189,10,1,19
546,17190,10,1,19
547,17191,10,1,19
548,17192,10,1,19
549,17193,10,1,19
550,17194,10,1,19
551,17195,10,1,19
552,17196,10,1,19
553,17197,10,1,19
554,17198,10,1,19
555,17199,10,1,19
556,17200,10,1,19
557,17201,10,1,19
558,17202,10,1,19
559,17203,10,1,19
560,17204,10,1,19
561,17205,10,1,19
562,17206,10,1,19
563,17207,10,1,19
564,17208,10,1,19
565,17209,10,1,19
566,17210,10,1,19
567,17211,10,1,19
568,17212,10,1,19
569,17213,10,1,19
570,17214,10,1,19
571,17215,10,1,19
572,17216,10,1,1
573,17217,10,1,1
574,17218,10,1,1
575,17219,10,1,1
576,17220,10,1,1
577,17221,10,1,1
578,17222,10,1,1
579,17223,10,1,1
580,17224,10,1,1
581,17225,10,1,1
582,17226,10,1,1
583,17227,10,1,1
584,17228,10,1,1
585,17229,10,1,1
586,17230,1,1,1
587,17231,1,1,1
588,17232,8,1,1
589,17233,8,1,1
590,17234,8,1,1
591,17235,8,1,8
592,17236,8,1,8
593,17237,8,1,1
594,17238,8,1,1
595,17239,8,1,1
596,17240,8,1,1
597,17241,8,1,1
598,17242,8,1,19
599,17243,8,1,19
600,17244,8,1,19
601,17245,8,1,19
602,17246,8,1,1
603,17247,8,1,1
604,17248,8,1,1
605,17249,8,1,1
606,17250,8,1,1
607,17251,8,1,1
608,17252,2,1,2
609,17253,2,1,2
610,17254,2,1,2
611,17255,2,1,2
612,17256,2,1,2
613,17257,2,1,2
614,17258,2,1,2
615,17259,2,1,2
616,17260,2,1,2
617,17261,2,1,2
618,17262,2,1,2
619,17263,2,1,2
620,17264,2,1,2
621,17265,2,1,2
622,17266,2,8,2
623,17267,2,8,2
624,17268,2,8,2
625,17269,8,8,2
626,17270,8,8,2
627,17271,2,8,2
628,17272,2,8,8
629,17273,2,8,8
630,17274,2,8,8
631,17275,2,8,8
632,17276,2,8,8
633,17277,2,8,8
634,17278,2,8,8
635,17279,2,8,8
636,17280,2,8,8
637,17281,2,8,8
638,17282,2,8,19
639,17283,2,8,19
640,17284,2,8,19
641,17285,2,8,19
642,17286,2,8,19
643,17287,2,8,19
644,17288,2,8,19
645,17289,2,8,19
646,17290,2,8,19
647,17291,2,8,19
648,17292,2,8,19
649,17293,2,8,19
650,17294,8,8,19
651,17295,8,8,19
652,17296,8,8,19
653,17297,8,8,19
654,17298,8,8,19
655,17299,8,8,19
656,17300,8,8,19
657,17301,8,8,19
658,17302,8,8,19
659,17303,8,8,19
660,17304,8,8,8
661,17305,8,8,8
662,17306,8,8,8
663,17307,8,8,8
664,17308,8,8,8
665,17309,8,8,8
666,17310,8,8,8
667,17311,8,8,8
668,17312,8,8,8
669,17313,8,8,8
670,17314,8,8,8
671,17315,8,8,8
672,17316,8,8,8
673,17317,8,8,8
674,17318,8,8,8
